"term","estimate","std_error","t_value","p_value","model","outcome","n","r_squared","adj_r_squared"
"(Intercept)",430.051922948743,85.2589706658645,5.04406656085663,1.3421731360697e-06,"Unadjusted","Diary Sleep Duration (minutes)",147,0.0098311265696949,0.00300237571845141
"`Sleep Quality`",13.2450843164701,11.0388470870994,1.1998612003557,0.232150052003147,"Unadjusted","Diary Sleep Duration (minutes)",147,0.0098311265696949,0.00300237571845141
"(Intercept)",466.427800888773,30.0513365103052,15.5210335064075,1.05435571096066e-32,"Unadjusted","Actigraphy Sleep Duration (minutes)",148,0.000988823305035864,-0.0058537190010941
"`Sleep Quality`",1.47573345562144,3.88201600806432,0.380146154100297,0.704389381489034,"Unadjusted","Actigraphy Sleep Duration (minutes)",148,0.000988823305035864,-0.0058537190010941
"(Intercept)",434.721273037089,88.0409262680875,4.93771807572024,2.17408812416684e-06,"Adjusted for weekend and summer","Diary Sleep Duration (minutes)",147,0.0104078569203739,-0.0103528174099679
"`Sleep Quality`",13.2758252757343,11.1158746764708,1.19431224821521,0.23433312631855,"Adjusted for weekend and summer","Diary Sleep Duration (minutes)",147,0.0104078569203739,-0.0103528174099679
"Weekend_Indicator",-14.1202926042478,50.9738669588485,-0.277010426061009,0.782172119346025,"Adjusted for weekend and summer","Diary Sleep Duration (minutes)",147,0.0104078569203739,-0.0103528174099679
"Summer_Break_Indicator",-3.98061818490307,51.3869153112948,-0.0774636531651888,0.938362986018065,"Adjusted for weekend and summer","Diary Sleep Duration (minutes)",147,0.0104078569203739,-0.0103528174099679
"(Intercept)",445.916311674778,29.8925654937098,14.917298141192,5.18842743431983e-31,"Adjusted for weekend and summer","Actigraphy Sleep Duration (minutes)",148,0.0756590164067282,0.0564019125818684
"`Sleep Quality`",1.47051953882424,3.76123837187777,0.390966855442904,0.696399578701041,"Adjusted for weekend and summer","Actigraphy Sleep Duration (minutes)",148,0.0756590164067282,0.0564019125818684
"Weekend_Indicator",54.472674628616,17.3155711123999,3.14587802360196,0.00201227867142723,"Adjusted for weekend and summer","Actigraphy Sleep Duration (minutes)",148,0.0756590164067282,0.0564019125818684
"Summer_Break_Indicator",22.1167896560904,17.459626587381,1.26673898467424,0.207293690582834,"Adjusted for weekend and summer","Actigraphy Sleep Duration (minutes)",148,0.0756590164067282,0.0564019125818684
